,Unnamed: 0,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
1931,1931,21493,870,37,164,23,22,22,0.0,66,01:28.8,177.678,+3 Laps,rosa,2/24/1971,Spanish,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,hrt,Spanish,23.0,2,41,21877,Hungarian Grand Prix,Dry,
1933,1933,21494,870,39,164,24,R,23,0.0,60,01:29.5,176.207,Suspension,karthikeyan,1/14/1977,Indian,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,hrt,Spanish,24.0,2,39,22031,Hungarian Grand Prix,Dry,
1936,1936,21488,870,5,207,19,17,17,0.0,68,01:26.6,182.13,+1 Lap,kovalainen,10/19/1981,Finnish,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,caterham,Malaysian,19.0,3,56,20567,Hungarian Grand Prix,Dry,
1939,1939,21490,870,808,207,20,19,19,0.0,67,01:27.6,179.981,+2 Laps,petrov,9/8/1984,Russian,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,caterham,Malaysian,20.0,3,51,20515,Hungarian Grand Prix,Dry,
1941,1941,21473,870,8,208,5,2,2,18.0,69,01:25.7,183.972,Finished,raikkonen,10/17/1979,Finnish,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,lotus_f1,British,5.0,2,45,19772,Hungarian Grand Prix,Dry,
1943,1943,21474,870,154,208,2,3,3,15.0,69,01:26.1,183.284,Finished,grosjean,4/17/1986,French,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,lotus_f1,British,2.0,2,39,20231,Hungarian Grand Prix,Dry,
1945,1945,21492,870,10,206,22,21,21,0.0,66,01:28.4,178.316,+3 Laps,glock,3/18/1982,German,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,marussia,Russian,22.0,2,40,20383,Hungarian Grand Prix,Dry,
1947,1947,21491,870,819,206,21,20,20,0.0,67,01:28.7,177.754,+2 Laps,pic,2/15/1990,French,2012,11,Hungarian Grand Prix,7/29/2012,hungaroring,Budapest,Hungary,marussia,Russian,21.0,2,39,21378,Hungarian Grand Prix,Dry,
1949,1949,21916,890,18,1,13,7,7,6.0,70,01:26.2,182.975,Finished,button,1/19/1980,British,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,mclaren,British,13.0,2,37,22496,Hungarian Grand Prix,Dry,
1951,1951,21918,890,815,1,9,9,9,2.0,69,01:26.1,183.086,+1 Lap,perez,1/26/1990,Mexican,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,mclaren,British,9.0,2,38,22722,Hungarian Grand Prix,Dry,
1954,1954,21919,890,813,3,15,10,10,1.0,69,01:25.6,184.254,+1 Lap,maldonado,3/9/1985,Venezuelan,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,williams,British,15.0,3,51,24796,Hungarian Grand Prix,Dry,
1956,1956,21929,890,822,3,16,R,20,0.0,42,01:27.1,181.018,Hydraulics,bottas,8/28/1989,Finnish,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,williams,British,16.0,2,33,22612,Hungarian Grand Prix,Dry,
1959,1959,21914,890,4,6,5,5,5,10.0,70,01:25.4,184.692,Finished,alonso,7/29/1981,Spanish,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,ferrari,Italian,5.0,3,48,21753,Hungarian Grand Prix,Dry,
1962,1962,21917,890,13,6,7,8,8,4.0,70,01:25.2,185.164,Finished,massa,4/25/1981,Brazilian,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,ferrari,Italian,7.0,3,48,21612,Hungarian Grand Prix,Dry,
1965,1965,21913,890,17,9,10,4,4,12.0,70,01:24.1,187.603,Finished,webber,8/27/1976,Australian,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,red_bull,Austrian,10.0,3,59,22022,Hungarian Grand Prix,Dry,
1968,1968,21912,890,20,9,2,3,3,15.0,70,01:24.6,186.529,Finished,vettel,7/3/1987,German,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,red_bull,Austrian,2.0,3,55,21666,Hungarian Grand Prix,Dry,
1970,1970,21922,890,817,5,8,13,13,0.0,69,01:26.9,181.568,+1 Lap,ricciardo,7/1/1989,Australian,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,toro_rosso,Italian,8.0,2,38,21996,Hungarian Grand Prix,Dry,
1973,1973,21921,890,818,5,14,12,12,0.0,69,01:26.5,182.349,+1 Lap,vergne,4/25/1990,French,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,toro_rosso,Italian,14.0,3,50,23756,Hungarian Grand Prix,Dry,
1976,1976,21927,890,814,10,18,18,18,0.0,66,01:26.6,182.103,Hydraulics,resta,4/16/1986,British,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,force_india,Indian,18.0,3,48,23027,Hungarian Grand Prix,Dry,
1979,1979,21910,890,1,131,1,1,1,25.0,70,01:24.6,186.322,Finished,hamilton,1/7/1985,British,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,mercedes,German,1.0,3,50,22136,Hungarian Grand Prix,Dry,
1982,1982,21928,890,3,131,4,19,19,0.0,64,01:25.1,185.354,Engine,rosberg,6/27/1985,German,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,mercedes,German,4.0,3,48,21854,Hungarian Grand Prix,Dry,
1985,1985,21920,890,807,15,12,11,11,0.0,69,01:26.7,181.826,+1 Lap,hulkenberg,8/19/1987,German,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,sauber,Swiss,12.0,3,40,16512,Hungarian Grand Prix,Dry,
1986,1986,21930,890,821,15,17,R,21,0.0,28,01:29.1,176.94,Transmission,gutierrez,8/5/1991,Mexican,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,sauber,Swiss,17.0,1,23,22425,Hungarian Grand Prix,Dry,
1988,1988,21924,890,819,207,19,15,15,0.0,68,01:27.7,179.784,+2 Laps,pic,2/15/1990,French,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,caterham,Malaysian,19.0,2,38,22450,Hungarian Grand Prix,Dry,
1991,1991,21923,890,823,207,20,14,14,0.0,68,01:27.5,180.302,+2 Laps,garde,4/25/1985,Dutch,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,caterham,Malaysian,20.0,3,44,22384,Hungarian Grand Prix,Dry,
1993,1993,21911,890,8,208,6,2,2,18.0,70,01:25.3,184.982,Finished,raikkonen,10/17/1979,Finnish,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,lotus_f1,British,6.0,2,42,21643,Hungarian Grand Prix,Dry,
1997,1997,21915,890,154,208,3,6,6,8.0,70,01:25.3,184.834,Finished,grosjean,4/17/1986,French,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,lotus_f1,British,3.0,4,47,22451,Hungarian Grand Prix,Dry,
2000,2000,21926,890,820,206,22,17,17,0.0,67,01:28.2,178.897,+3 Laps,chilton,4/21/1991,British,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,marussia,Russian,22.0,3,50,23257,Hungarian Grand Prix,Dry,
2003,2003,21925,890,824,206,21,16,16,0.0,67,01:28.3,178.715,+3 Laps,jules_bianchi,8/3/1989,French,2013,10,Hungarian Grand Prix,7/28/2013,hungaroring,Budapest,Hungary,marussia,Russian,21.0,3,46,23030,Hungarian Grand Prix,Dry,
2006,2006,22359,910,18,1,7,10,10,1.0,70,01:29.2,176.898,Finished,button,1/19/1980,British,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,mclaren,British,7.0,3,37,22211,Hungarian Grand Prix,Varied,11.0
2008,2008,22361,910,825,1,21,12,12,0.0,70,01:28.9,177.442,Finished,kevin_magnussen,10/5/1992,Danish,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,mclaren,British,10.0,2,39,21812,Hungarian Grand Prix,Varied,11.0
2011,2011,22354,910,13,3,6,5,5,10.0,70,01:28.2,178.757,Finished,massa,4/25/1981,Brazilian,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,williams,British,6.0,3,45,22278,Hungarian Grand Prix,Varied,11.0
2014,2014,22357,910,822,3,3,8,8,4.0,70,01:26.9,181.595,Finished,bottas,8/28/1989,Finnish,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,williams,British,3.0,3,59,22589,Hungarian Grand Prix,Varied,11.0
2016,2016,22351,910,4,6,5,2,2,18.0,70,01:27.4,180.413,Finished,alonso,7/29/1981,Spanish,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,ferrari,Italian,5.0,2,38,21634,Hungarian Grand Prix,Varied,11.0
2018,2018,22355,910,8,6,16,6,6,8.0,70,01:28.0,179.257,Finished,raikkonen,10/17/1979,Finnish,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,ferrari,Italian,17.0,2,41,22154,Hungarian Grand Prix,Varied,11.0
2020,2020,22356,910,20,9,2,7,7,6.0,70,01:28.7,177.716,Finished,vettel,7/3/1987,German,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,red_bull,Austrian,2.0,2,33,21608,Hungarian Grand Prix,Varied,11.0
2023,2023,22350,910,817,9,4,1,1,25.0,70,01:26.6,182.103,Finished,ricciardo,7/1/1989,Australian,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,red_bull,Austrian,4.0,3,54,22273,Hungarian Grand Prix,Varied,11.0
2025,2025,22358,910,818,5,8,9,9,2.0,70,01:29.1,176.97,Finished,vergne,4/25/1990,French,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,toro_rosso,Italian,8.0,2,34,23123,Hungarian Grand Prix,Varied,11.0
2027,2027,22363,910,826,5,10,14,14,0.0,69,01:29.4,176.414,+1 Lap,kvyat,4/26/1994,Russian,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,toro_rosso,Italian,11.0,2,30,22202,Hungarian Grand Prix,Varied,11.0
2028,2028,22369,910,807,10,9,R,20,0.0,16,01:41.2,155.921,Accident,hulkenberg,8/19/1987,German,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,force_india,Indian,9.0,1,8,24040,Hungarian Grand Prix,Varied,11.0
2029,2029,22368,910,815,10,12,R,19,0.0,23,01:30.3,174.696,Accident,perez,1/26/1990,Mexican,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,force_india,Indian,13.0,1,8,25535,Hungarian Grand Prix,Varied,11.0
2031,2031,22352,910,1,131,22,3,3,15.0,70,01:27.4,180.494,Finished,hamilton,1/7/1985,British,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,mercedes,German,21.0,2,39,23364,Hungarian Grand Prix,Varied,11.0
2034,2034,22353,910,3,131,1,4,4,12.0,70,01:25.7,183.981,Finished,rosberg,6/27/1985,German,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,mercedes,German,1.0,3,56,22001,Hungarian Grand Prix,Varied,11.0
2036,2036,22360,910,16,15,11,11,11,0.0,70,01:28.7,177.8,Finished,sutil,1/11/1983,German,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,sauber,Swiss,12.0,2,39,22500,Hungarian Grand Prix,Varied,11.0
2037,2037,22366,910,821,15,13,R,17,0.0,33,01:30.5,174.3,Retired,gutierrez,8/5/1991,Mexican,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,sauber,Swiss,14.0,1,8,24050,Hungarian Grand Prix,Varied,11.0
2038,2038,22367,910,155,207,17,R,18,0.0,26,01:32.9,169.791,Retired,kobayashi,9/13/1986,Japanese,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,caterham,Malaysian,18.0,1,8,34086,Hungarian Grand Prix,Varied,11.0
2039,2039,22370,910,154,208,14,R,21,0.0,11,01:46.3,148.352,Accident,grosjean,4/17/1986,French,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,lotus_f1,British,15.0,1,8,23979,Hungarian Grand Prix,Varied,11.0
2042,2042,22362,910,813,208,20,13,13,0.0,70,01:29.1,176.954,Finished,maldonado,3/9/1985,Venezuelan,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,lotus_f1,British,22.0,3,43,21818,Hungarian Grand Prix,Varied,11.0
2044,2044,22365,910,820,206,18,16,16,0.0,69,01:29.5,176.22,+1 Lap,chilton,4/21/1991,British,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,marussia,Russian,19.0,2,45,23232,Hungarian Grand Prix,Varied,11.0
2047,2047,22364,910,824,206,15,15,15,0.0,69,01:29.9,175.468,+1 Lap,jules_bianchi,8/3/1989,French,2014,11,Hungarian Grand Prix,7/27/2014,hungaroring,Budapest,Hungary,marussia,Russian,16.0,3,42,24226,Hungarian Grand Prix,Varied,11.0
2052,2052,22720,936,4,1,15,5,5,10.0,69,01:27.3,180.637,Finished,alonso,7/29/1981,Spanish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,mclaren,British,15.0,5,45,16879,Hungarian Grand Prix,Dry,7.0
2056,2056,22724,936,18,1,16,9,9,2.0,69,01:28.5,178.139,Finished,button,1/19/1980,British,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,mclaren,British,16.0,4,45,16639,Hungarian Grand Prix,Dry,7.0
2061,2061,22727,936,13,3,8,12,12,0.0,69,01:26.9,181.566,Finished,massa,4/25/1981,Brazilian,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,williams,British,8.0,5,54,21502,Hungarian Grand Prix,Dry,7.0
2066,2066,22728,936,822,3,6,13,13,0.0,69,01:27.1,181.161,Finished,bottas,8/28/1989,Finnish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,williams,British,6.0,5,49,30031,Hungarian Grand Prix,Dry,7.0
2071,2071,22733,936,8,6,5,R,18,0.0,55,01:27.0,181.378,Power Unit,raikkonen,10/17/1979,Finnish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,ferrari,Italian,5.0,5,52,59555,Hungarian Grand Prix,Dry,7.0
2075,2075,22716,936,20,6,3,1,1,25.0,69,01:26.8,181.759,Finished,vettel,7/3/1987,German,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,ferrari,Italian,3.0,4,46,17121,Hungarian Grand Prix,Dry,7.0
2080,2080,22718,936,817,9,4,3,3,15.0,69,01:24.8,185.939,Finished,ricciardo,7/1/1989,Australian,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,red_bull,Austrian,4.0,5,64,31037,Hungarian Grand Prix,Dry,7.0
2085,2085,22717,936,826,9,7,2,2,18.0,69,01:26.5,182.29,Finished,kvyat,4/26/1994,Russian,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,red_bull,Austrian,7.0,5,46,17849,Hungarian Grand Prix,Dry,7.0
2090,2090,22719,936,830,5,9,4,4,12.0,69,01:27.7,179.938,Finished,max_verstappen,9/30/1997,Dutch,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,toro_rosso,Italian,9.0,5,56,16415,Hungarian Grand Prix,Dry,7.0
2094,2094,22732,936,832,5,12,R,17,0.0,60,01:28.6,177.986,Electrical,sainz,9/1/1994,Spanish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,toro_rosso,Italian,12.0,4,45,16786,Hungarian Grand Prix,Dry,7.0
2096,2096,22735,936,807,10,11,R,20,0.0,41,01:28.1,179.072,Front wing,hulkenberg,8/19/1987,German,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,force_india,Indian,11.0,2,36,22222,Hungarian Grand Prix,Dry,7.0
2101,2101,22734,936,815,10,13,R,19,0.0,53,01:28.5,178.212,Suspension,perez,1/26/1990,Mexican,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,force_india,Indian,13.0,5,45,32181,Hungarian Grand Prix,Dry,7.0
2107,2107,22721,936,1,131,1,6,6,8.0,69,01:25.7,183.974,Finished,hamilton,1/7/1985,British,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,mercedes,German,1.0,6,54,16579,Hungarian Grand Prix,Dry,7.0
2112,2112,22723,936,3,131,2,8,8,4.0,69,01:25.1,185.223,Finished,rosberg,6/27/1985,German,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,mercedes,German,2.0,5,64,24575,Hungarian Grand Prix,Dry,7.0
2117,2117,22725,936,828,15,17,10,10,1.0,69,01:28.0,179.214,Finished,ericsson,9/2/1990,Swedish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,sauber,Swiss,17.0,5,45,17472,Hungarian Grand Prix,Dry,7.0
2122,2122,22726,936,831,15,18,11,11,0.0,69,01:28.3,178.678,Finished,nasr,8/21/1992,Brazilian,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,sauber,Swiss,18.0,5,45,17235,Hungarian Grand Prix,Dry,7.0
2127,2127,22722,936,154,208,10,7,7,6.0,69,01:28.1,179.059,Finished,grosjean,4/17/1986,French,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,lotus_f1,British,10.0,5,45,17114,Hungarian Grand Prix,Dry,7.0
2133,2133,22729,936,813,208,14,14,14,0.0,69,01:27.1,181.012,Finished,maldonado,3/9/1985,Venezuelan,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,lotus_f1,British,14.0,6,58,16446,Hungarian Grand Prix,Dry,7.0
2138,2138,22731,936,829,209,20,16,16,0.0,65,01:29.5,176.134,+4 Laps,stevens,6/28/1991,British,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,manor,British,20.0,5,54,22716,Hungarian Grand Prix,Dry,7.0
2143,2143,22730,936,833,209,19,15,15,0.0,67,01:29.9,175.497,+2 Laps,merhi,3/22/1991,Spanish,2015,10,Hungarian Grand Prix,7/26/2015,hungaroring,Budapest,Hungary,manor,British,19.0,5,44,18149,Hungarian Grand Prix,Dry,7.0
2145,2145,23143,958,4,1,7,7,7,6.0,69,01:25.0,185.639,+1 Lap,alonso,7/29/1981,Spanish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,mclaren,British,7.0,2,44,21897,Hungarian Grand Prix,Dry,
2148,2148,23158,958,18,1,8,R,22,0.0,60,01:26.7,181.817,Oil leak,button,1/19/1980,British,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,mclaren,British,8.0,3,28,22718,Hungarian Grand Prix,Dry,
2150,2150,23154,958,13,3,18,18,18,0.0,68,01:25.3,184.904,+2 Laps,massa,4/25/1981,Brazilian,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,williams,British,18.0,2,65,22366,Hungarian Grand Prix,Dry,
2152,2152,23145,958,822,3,10,9,9,2.0,69,01:25.3,184.954,+1 Lap,bottas,8/28/1989,Finnish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,williams,British,10.0,2,43,21405,Hungarian Grand Prix,Dry,
2154,2154,23151,958,825,4,19,15,15,0.0,69,01:26.2,182.901,+1 Lap,kevin_magnussen,10/5/1992,Danish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,renault,French,19.0,2,36,22051,Hungarian Grand Prix,Dry,
2156,2156,23148,958,835,4,17,12,12,0.0,69,01:25.7,183.94,+1 Lap,jolyon_palmer,1/20/1991,British,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,renault,French,17.0,2,39,21665,Hungarian Grand Prix,Dry,
2158,2158,23142,958,8,6,14,6,6,8.0,70,01:23.1,189.822,Finished,raikkonen,10/17/1979,Finnish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,ferrari,Italian,14.0,2,50,21857,Hungarian Grand Prix,Dry,
2160,2160,23140,958,20,6,5,4,4,12.0,70,01:24.4,186.904,Finished,vettel,7/3/1987,German,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,ferrari,Italian,5.0,2,41,21535,Hungarian Grand Prix,Dry,
2162,2162,23139,958,817,9,3,3,3,15.0,70,01:24.6,186.407,Finished,ricciardo,7/1/1989,Australian,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,red_bull,Austrian,3.0,2,33,22006,Hungarian Grand Prix,Dry,
2164,2164,23141,958,830,9,4,5,5,10.0,70,01:24.7,186.234,Finished,max_verstappen,9/30/1997,Dutch,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,red_bull,Austrian,4.0,2,38,21687,Hungarian Grand Prix,Dry,
2166,2166,23152,958,826,5,12,16,16,0.0,69,01:24.7,186.273,+1 Lap,kvyat,4/26/1994,Russian,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,toro_rosso,Italian,12.0,2,46,27951,Hungarian Grand Prix,Dry,
2168,2168,23144,958,832,5,6,8,8,4.0,69,01:25.1,185.323,+1 Lap,sainz,9/1/1994,Spanish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,toro_rosso,Italian,6.0,2,42,22417,Hungarian Grand Prix,Dry,
2170,2170,23146,958,807,10,9,10,10,1.0,69,01:25.4,184.696,+1 Lap,hulkenberg,8/19/1987,German,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,force_india,Indian,9.0,2,39,23350,Hungarian Grand Prix,Dry,
2172,2172,23147,958,815,10,13,11,11,0.0,69,01:25.0,185.502,+1 Lap,perez,1/26/1990,Mexican,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,force_india,Indian,13.0,2,40,29941,Hungarian Grand Prix,Dry,
2174,2174,23137,958,1,131,2,1,1,25.0,70,01:23.8,188.095,Finished,hamilton,1/7/1985,British,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,mercedes,German,2.0,2,41,21773,Hungarian Grand Prix,Dry,
2176,2176,23138,958,3,131,1,2,2,18.0,70,01:23.7,188.497,Finished,rosberg,6/27/1985,German,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,mercedes,German,1.0,2,42,22351,Hungarian Grand Prix,Dry,
2179,2179,23156,958,828,15,22,20,20,0.0,68,01:25.5,184.517,+2 Laps,ericsson,9/2/1990,Swedish,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,sauber,Swiss,20.0,3,62,23308,Hungarian Grand Prix,Dry,
2181,2181,23153,958,831,15,16,17,17,0.0,69,01:25.7,184.084,+1 Lap,nasr,8/21/1992,Brazilian,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,sauber,Swiss,16.0,2,39,22965,Hungarian Grand Prix,Dry,
2183,2183,23150,958,154,210,11,14,14,0.0,69,01:26.0,183.48,+1 Lap,grosjean,4/17/1986,French,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,haas,American,11.0,2,36,22303,Hungarian Grand Prix,Dry,
2185,2185,23149,958,821,210,15,13,13,0.0,69,01:26.0,183.486,+1 Lap,gutierrez,8/5/1991,Mexican,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,haas,American,15.0,2,37,22520,Hungarian Grand Prix,Dry,
2187,2187,23155,958,836,209,20,19,19,0.0,68,01:26.5,182.28,+2 Laps,wehrlein,10/18/1994,German,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,manor,British,21.0,2,35,22765,Hungarian Grand Prix,Dry,
2188,2188,23157,958,837,209,21,21,21,0.0,68,01:27.8,179.649,+2 Laps,haryanto,1/22/1993,Indonesian,2016,11,Hungarian Grand Prix,7/24/2016,hungaroring,Budapest,Hungary,manor,British,22.0,1,29,24254,Hungarian Grand Prix,Dry,
2189,2189,23587,979,4,1,7,6,6,8.0,70,01:20.2,196.697,Finished,alonso,7/29/1981,Spanish,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,mclaren,British,8.0,1,35,22399,Hungarian Grand Prix,Dry,5.0
2190,2190,23591,979,838,1,8,10,10,1.0,69,01:22.0,192.43,+1 Lap,vandoorne,3/26/1992,Belgian,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,mclaren,British,9.0,1,42,28616,Hungarian Grand Prix,Dry,5.0
2191,2191,23599,979,814,3,19,R,18,0.0,60,01:23.2,189.466,Oil leak,resta,4/16/1986,British,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,williams,British,19.0,1,34,22399,Hungarian Grand Prix,Dry,5.0
2192,2192,23595,979,840,3,17,14,14,0.0,69,01:22.8,190.409,+1 Lap,stroll,10/29/1998,Canadian,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,williams,British,17.0,1,29,21804,Hungarian Grand Prix,Dry,5.0
2193,2193,23598,979,807,4,12,17,17,0.0,67,01:21.6,193.253,Brakes,hulkenberg,8/19/1987,German,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,renault,French,7.0,1,45,31860,Hungarian Grand Prix,Dry,5.0
2194,2194,23593,979,835,4,10,12,12,0.0,69,01:21.6,193.305,+1 Lap,jolyon_palmer,1/20/1991,British,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,renault,French,11.0,1,46,22684,Hungarian Grand Prix,Dry,5.0
2195,2195,23583,979,8,6,2,2,2,18.0,70,01:20.5,196.015,Finished,raikkonen,10/17/1979,Finnish,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,ferrari,Italian,2.0,1,33,21919,Hungarian Grand Prix,Dry,5.0
2196,2196,23582,979,20,6,1,1,1,25.0,70,01:20.8,195.176,Finished,vettel,7/3/1987,German,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,ferrari,Italian,1.0,1,32,22317,Hungarian Grand Prix,Dry,5.0
2197,2197,23586,979,830,9,5,5,5,10.0,70,01:20.5,195.944,Finished,max_verstappen,9/30/1997,Dutch,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,red_bull,Austrian,5.0,1,42,33605,Hungarian Grand Prix,Dry,5.0
2198,2198,23592,979,826,5,16,11,11,0.0,69,01:21.6,193.206,+1 Lap,kvyat,4/26/1994,Russian,2017,11,Hungarian Grand Prix,7/30/2017,hungaroring,Budapest,Hungary,toro_rosso,Italian,13.0,1,40,22273,Hungarian Grand Prix,Dry,5.0
